Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
82935,WY,0.02,,01/23/2006,41.51,-109.46,6;20,Sweetwater,56037
82009,WY,0.06,,1/1/2007,41.14,-104.79,5;51,Laramie,56021
82431,WY,0.06,,01/15/1996,44.83,-108.39,5;43,Big Horn,56003
82001,WY,0.075,,01/15/1996,41.14,-104.79,5;61,Laramie,56021
82336,WY,0.11,,06/15/2007,41.66,-107.97,5;89,Sweetwater,56037
82801,WY,0.12,,1/1/2006,44.79,-106.95,5;02,Sheridan,56033
82059,WY,0.12,,01/15/2006,41.10,-105.08,5;55,Laramie,56021
82731,WY,0.12,,1/1/2005,44.63,-105.33,5;22,Campbell,56005
82201,WY,0.12,,7/8/2008,42.05,-104.95,5;50,Platte,56031
82514,WY,0.125,,04/14/2005,43.00,-108.92,5;85,Fremont,56013
83101,WY,0.125,,6/3/2006,41.78,-110.55,5;85,Lincoln,56023
82601,WY,0.16,,01/15/2004,42.83,-106.32,5;53,Natrona,56025
83127,WY,0.17,,01/15/2006,42.91,-111.00,5;11,Lincoln,56023
83001,WY,0.204,,08/23/1996,43.47,-110.76,5;11,Teton,56039
82520,WY,0.204,,6/12/1999,42.83,-108.72,5;83,Fremont,56013
82009,WY,0.204,,6/2/1996,41.14,-104.79,5;51,Laramie,56021
82083,WY,0.22,,10/21/2007,41.73,-105.97,5;43,Albany,56001
82520,WY,0.225,,12/9/2000,42.83,-108.72,5;83,Fremont,56013
82633,WY,0.225,,1/2/2002,42.75,-105.39,5;47,Converse,56009
82201,WY,0.23,,1/1/2008,42.05,-104.95,5;50,Platte,56031
82601,WY,0.24,,01/15/2004,42.83,-106.32,5;53,Natrona,56025
82501,WY,0.24,,02/23/2007,43.03,-108.41,6;03,Fremont,56013
82520,WY,0.24,,1/1/2006,42.83,-108.72,5;83,Fremont,56013
82520,WY,0.24,,4/4/2004,42.83,-108.72,5;83,Fremont,56013
82001,WY,0.24,,1/2/2005,41.14,-104.79,5;61,Laramie,56021
82520,WY,0.24,,6/5/2006,42.83,-108.72,5;83,Fremont,56013
82801,WY,0.24,,01/15/2003,44.79,-106.95,5;02,Sheridan,56033
82070,WY,0.24,,3/1/2005,41.31,-105.58,5;49,Albany,56001
82520,WY,0.24,,6/6/1999,42.83,-108.72,5;83,Fremont,56013
82520,WY,0.24,,10/12/2001,42.83,-108.72,5;83,Fremont,56013
82901,WY,0.24,,05/23/2001,41.59,-109.22,6;04,Sweetwater,56037
82649,WY,0.24,,07/23/1999,43.23,-108.10,6;00,Fremont,56013
82520,WY,0.25,,01/15/2007,42.83,-108.72,5;83,Fremont,56013
82520,WY,0.28,,06/14/2003,42.83,-108.72,5;83,Fremont,56013
82901,WY,0.32,,01/15/2005,41.59,-109.22,6;04,Sweetwater,56037
82935,WY,0.32,,1/3/2003,41.51,-109.46,6;20,Sweetwater,56037
82072,WY,0.33,,4/1/2006,41.31,-105.58,5;37,Albany,56001
82520,WY,0.35,,7/8/2008,42.83,-108.72,5;83,Fremont,56013
82501,WY,0.35,,10/21/2006,43.03,-108.41,6;03,Fremont,56013
82730,WY,0.35,,5/12/2009,44.10,-104.62,5;37,Weston,56045
82443,WY,0.36,,01/16/2001,43.64,-108.21,5;70,Hot Springs,56017
82520,WY,0.36,,1/1/1999,42.83,-108.72,5;83,Fremont,56013
82520,WY,0.36,,1/2/1999,42.83,-108.72,5;83,Fremont,56013
82601,WY,0.36,,1/1/2005,42.83,-106.32,5;53,Natrona,56025
82084,WY,0.38,,7/12/1997,41.04,-105.42,5;52,Albany,56001
82083,WY,0.4,,7/8/2008,41.73,-105.97,5;43,Albany,56001
82834,WY,0.4,,01/15/2007,44.34,-106.71,5;27,Johnson,56019
82443,WY,0.41,4755.53,04/16/2010,43.64,-108.21,5;70,Hot Springs,56017
82520,WY,0.414,,1/1/2001,42.83,-108.72,5;83,Fremont,56013
82633,WY,0.416,,8/10/2009,42.75,-105.39,5;47,Converse,56009
82520,WY,0.432,,8/7/2009,42.83,-108.72,5;83,Fremont,56013
82520,WY,0.44,,01/15/2004,42.83,-108.72,5;83,Fremont,56013
82201,WY,0.48,,12/12/2005,42.05,-104.95,5;50,Platte,56031
82601,WY,0.48,,10/21/2006,42.83,-106.32,5;53,Natrona,56025
82520,WY,0.48,,01/15/2005,42.83,-108.72,5;83,Fremont,56013
83011,WY,0.48,,01/15/2006,43.60,-110.32,5;26,Teton,56039
82435,WY,0.492,,01/15/2008,44.79,-108.73,5;27,Park,56029
82520,WY,0.495,,05/20/2006,42.83,-108.72,5;83,Fremont,56013
